City,Waste_Type,Waste_Generated,Recycling_Rate,Population_Density,Municipal_Efficiency_Score,Disposal_Method,Cost_of_Waste_Management,Awareness_Campaigns_Count,Landfill_Capacity,Year,Landfill_Lat,Landfill_Long,Distance_to_Landfill_km,Years_Since_2019
Mumbai,Plastic,6610,68,11191,9,Composting,3056,14,45575,2019,22.4265,77.4931,606.5952681265323,0
Mumbai,Organic,1181,56,11191,5,Composting,2778,12,45575,2019,22.4265,77.4931,606.5952681265323,0
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,45575,2019,22.4265,77.4931,606.5952681265323,0
Mumbai,Construction,8929,56,11191,5,Landfill,1498,14,45575,2019,22.4265,77.4931,606.5952681265323,0
Mumbai,Hazardous,5032,44,11191,7,Recycling,2221,16,45575,2019,22.4265,77.4931,606.5952681265323,0
Mumbai,Plastic,7456,73,11191,9,Landfill,3195,6,45575,2020,22.4265,77.4931,606.5952681265323,1
Mumbai,Organic,7118,37,11191,6,Composting,3686,14,45575,2020,22.4265,77.4931,606.5952681265323,1
Mumbai,E-Waste,9189,57,11191,10,Landfill,1791,12,45575,2020,22.4265,77.4931,606.5952681265323,1
Mumbai,Construction,8609,48,11191,8,Incineration,1681,20,45575,2020,22.4265,77.4931,606.5952681265323,1
Mumbai,Hazardous,6632,71,11191,6,Incineration,2311,12,45575,2020,22.4265,77.4931,606.5952681265323,1
Mumbai,Plastic,6932,81,11191,10,Incineration,2543,16,45575,2021,22.4265,77.4931,606.5952681265323,2
Mumbai,Organic,4171,44,11191,9,Incineration,4756,14,45575,2021,22.4265,77.4931,606.5952681265323,2
Mumbai,E-Waste,5095,30,11191,10,Composting,3586,2,45575,2021,22.4265,77.4931,606.5952681265323,2
Mumbai,Construction,3514,77,11191,9,Incineration,3520,0,45575,2021,22.4265,77.4931,606.5952681265323,2
Mumbai,Hazardous,4505,54,11191,10,Composting,3655,4,45575,2021,22.4265,77.4931,606.5952681265323,2
Mumbai,Plastic,2501,41,11191,9,Recycling,1194,4,45575,2022,22.4265,77.4931,606.5952681265323,3
Mumbai,Organic,3348,79,11191,6,Incineration,2383,10,45575,2022,22.4265,77.4931,606.5952681265323,3
Mumbai,E-Waste,6915,41,11191,9,Incineration,2324,1,45575,2022,22.4265,77.4931,606.5952681265323,3
Mumbai,Construction,5862,48,11191,7,Landfill,2867,19,45575,2022,22.4265,77.4931,606.5952681265323,3
Mumbai,Hazardous,4856,74,11191,10,Landfill,826,1,45575,2022,22.4265,77.4931,606.5952681265323,3
Mumbai,Plastic,6569,48,11191,5,Landfill,4287,16,45575,2023,22.4265,77.4931,606.5952681265323,4
Mumbai,Organic,7809,35,11191,8,Recycling,3128,7,45575,2023,22.4265,77.4931,606.5952681265323,4
Mumbai,E-Waste,7232,82,11191,6,Landfill,1565,9,45575,2023,22.4265,77.4931,606.5952681265323,4
Mumbai,Construction,4039,54,11191,9,Recycling,1252,12,45575,2023,22.4265,77.4931,606.5952681265323,4
Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,45575,2023,22.4265,77.4931,606.5952681265323,4
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,74509,2019,30.2591,91.9376,1436.84690059149,0
Delhi,Organic,2224,84,14376,10,Landfill,3219,4,74509,2019,30.2591,91.9376,1436.84690059149,0
Delhi,E-Waste,2395,43,14376,5,Composting,2005,1,74509,2019,30.2591,91.9376,1436.84690059149,0
Delhi,Construction,1887,80,14376,7,Incineration,4307,4,74509,2019,30.2591,91.9376,1436.84690059149,0
Delhi,Hazardous,4158,48,14376,5,Composting,4183,6,74509,2019,30.2591,91.9376,1436.84690059149,0
Delhi,Plastic,763,75,14376,5,Recycling,1337,20,74509,2020,30.2591,91.9376,1436.84690059149,1
Delhi,Organic,7143,69,14376,9,Landfill,682,16,74509,2020,30.2591,91.9376,1436.84690059149,1
Delhi,E-Waste,7516,84,14376,5,Composting,620,18,74509,2020,30.2591,91.9376,1436.84690059149,1
Delhi,Construction,3125,77,14376,8,Recycling,4345,5,74509,2020,30.2591,91.9376,1436.84690059149,1
Delhi,Hazardous,6574,84,14376,8,Incineration,913,20,74509,2020,30.2591,91.9376,1436.84690059149,1
Delhi,Plastic,3407,82,14376,10,Composting,2802,4,74509,2021,30.2591,91.9376,1436.84690059149,2
Delhi,Organic,9617,36,14376,6,Recycling,2676,5,74509,2021,30.2591,91.9376,1436.84690059149,2
Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,74509,2021,30.2591,91.9376,1436.84690059149,2
Delhi,Construction,8566,34,14376,8,Landfill,2594,19,74509,2021,30.2591,91.9376,1436.84690059149,2
Delhi,Hazardous,2873,76,14376,8,Incineration,1904,16,74509,2021,30.2591,91.9376,1436.84690059149,2
Delhi,Plastic,6770,66,14376,10,Landfill,3496,2,74509,2022,30.2591,91.9376,1436.84690059149,3
Delhi,Organic,8105,40,14376,8,Recycling,3175,12,74509,2022,30.2591,91.9376,1436.84690059149,3
Delhi,E-Waste,6564,72,14376,7,Recycling,4437,13,74509,2022,30.2591,91.9376,1436.84690059149,3
Delhi,Construction,7226,48,14376,8,Incineration,2360,11,74509,2022,30.2591,91.9376,1436.84690059149,3
Delhi,Hazardous,3464,32,14376,6,Incineration,2523,1,74509,2022,30.2591,91.9376,1436.84690059149,3
Delhi,Plastic,2397,67,14376,9,Landfill,3644,0,74509,2023,30.2591,91.9376,1436.84690059149,4
Delhi,Organic,9092,71,14376,6,Landfill,2194,14,74509,2023,30.2591,91.9376,1436.84690059149,4
Delhi,E-Waste,7257,32,14376,5,Incineration,3259,5,74509,2023,30.2591,91.9376,1436.84690059149,4
Delhi,Construction,8220,66,14376,6,Incineration,1687,10,74509,2023,30.2591,91.9376,1436.84690059149,4
Delhi,Hazardous,3054,32,14376,9,Landfill,1135,7,74509,2023,30.2591,91.9376,1436.84690059149,4
Bengaluru,Plastic,7843,36,18195,10,Incineration,4211,13,52609,2019,15.7581,85.4837,905.4561934390521,0
Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,52609,2019,15.7581,85.4837,905.4561934390521,0
Bengaluru,E-Waste,2167,61,18195,6,Recycling,4554,0,52609,2019,15.7581,85.4837,905.4561934390521,0
Bengaluru,Construction,4750,31,18195,7,Composting,4444,2,52609,2019,15.7581,85.4837,905.4561934390521,0
Bengaluru,Hazardous,8952,43,18195,5,Recycling,2956,0,52609,2019,15.7581,85.4837,905.4561934390521,0
Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,52609,2020,15.7581,85.4837,905.4561934390521,1
Bengaluru,Organic,3653,83,18195,5,Composting,3975,1,52609,2020,15.7581,85.4837,905.4561934390521,1
Bengaluru,E-Waste,5477,40,18195,10,Incineration,3064,14,52609,2020,15.7581,85.4837,905.4561934390521,1
Bengaluru,Construction,6105,83,18195,6,Incineration,2320,18,52609,2020,15.7581,85.4837,905.4561934390521,1
Bengaluru,Hazardous,941,63,18195,5,Landfill,3733,6,52609,2020,15.7581,85.4837,905.4561934390521,1
Bengaluru,Plastic,798,36,18195,8,Incineration,2456,11,52609,2021,15.7581,85.4837,905.4561934390521,2
Bengaluru,Organic,994,51,18195,6,Recycling,2169,15,52609,2021,15.7581,85.4837,905.4561934390521,2
Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,52609,2021,15.7581,85.4837,905.4561934390521,2
Bengaluru,Construction,6555,34,18195,7,Composting,2973,17,52609,2021,15.7581,85.4837,905.4561934390521,2
Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,52609,2021,15.7581,85.4837,905.4561934390521,2
Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,52609,2022,15.7581,85.4837,905.4561934390521,3
Bengaluru,Organic,909,54,18195,10,Composting,1000,20,52609,2022,15.7581,85.4837,905.4561934390521,3
Bengaluru,E-Waste,5864,51,18195,9,Landfill,4645,19,52609,2022,15.7581,85.4837,905.4561934390521,3
Bengaluru,Construction,512,65,18195,6,Incineration,3796,17,52609,2022,15.7581,85.4837,905.4561934390521,3
Bengaluru,Hazardous,902,85,18195,7,Landfill,1379,14,52609,2022,15.7581,85.4837,905.4561934390521,3
Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,52609,2023,15.7581,85.4837,905.4561934390521,4
Bengaluru,Organic,7135,79,18195,5,Incineration,3919,17,52609,2023,15.7581,85.4837,905.4561934390521,4
Bengaluru,E-Waste,7667,81,18195,6,Landfill,2745,10,52609,2023,15.7581,85.4837,905.4561934390521,4
Bengaluru,Construction,3159,43,18195,10,Recycling,4007,7,52609,2023,15.7581,85.4837,905.4561934390521,4
Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,52609,2023,15.7581,85.4837,905.4561934390521,4
Chennai,Plastic,6159,74,21430,10,Composting,3282,13,65486,2019,29.4633,80.8873,1815.1796892871828,0
Chennai,Organic,6358,53,21430,5,Composting,4225,1,65486,2019,29.4633,80.8873,1815.1796892871828,0
Chennai,E-Waste,6787,50,21430,5,Landfill,1623,7,65486,2019,29.4633,80.8873,1815.1796892871828,0
Chennai,Construction,628,41,21430,10,Recycling,837,7,65486,2019,29.4633,80.8873,1815.1796892871828,0
Chennai,Hazardous,1639,50,21430,9,Composting,3225,19,65486,2019,29.4633,80.8873,1815.1796892871828,0
Chennai,Plastic,1760,68,21430,8,Incineration,2871,18,65486,2020,29.4633,80.8873,1815.1796892871828,1
Chennai,Organic,6805,32,21430,5,Composting,1988,3,65486,2020,29.4633,80.8873,1815.1796892871828,1
Chennai,E-Waste,5763,67,21430,5,Landfill,1453,0,65486,2020,29.4633,80.8873,1815.1796892871828,1
Chennai,Construction,8100,76,21430,9,Incineration,2855,1,65486,2020,29.4633,80.8873,1815.1796892871828,1
Chennai,Hazardous,651,46,21430,8,Recycling,533,7,65486,2020,29.4633,80.8873,1815.1796892871828,1
Chennai,Plastic,4648,60,21430,9,Landfill,1389,0,65486,2021,29.4633,80.8873,1815.1796892871828,2
Chennai,Organic,8394,72,21430,6,Incineration,4236,15,65486,2021,29.4633,80.8873,1815.1796892871828,2
Chennai,E-Waste,4255,31,21430,6,Landfill,3888,17,65486,2021,29.4633,80.8873,1815.1796892871828,2
Chennai,Construction,4259,65,21430,7,Composting,1620,10,65486,2021,29.4633,80.8873,1815.1796892871828,2
Chennai,Hazardous,552,31,21430,7,Incineration,2450,2,65486,2021,29.4633,80.8873,1815.1796892871828,2
Chennai,Plastic,1858,61,21430,5,Incineration,4476,3,65486,2022,29.4633,80.8873,1815.1796892871828,3
Chennai,Organic,5933,71,21430,8,Recycling,3180,20,65486,2022,29.4633,80.8873,1815.1796892871828,3
Chennai,E-Waste,7231,36,21430,7,Incineration,3588,12,65486,2022,29.4633,80.8873,1815.1796892871828,3
Chennai,Construction,8389,79,21430,10,Incineration,3449,20,65486,2022,29.4633,80.8873,1815.1796892871828,3
Chennai,Hazardous,6393,53,21430,7,Landfill,764,16,65486,2022,29.4633,80.8873,1815.1796892871828,3
Chennai,Plastic,4234,44,21430,8,Composting,3634,19,65486,2023,29.4633,80.8873,1815.1796892871828,4
Chennai,Organic,7743,64,21430,7,Recycling,2483,20,65486,2023,29.4633,80.8873,1815.1796892871828,4
Chennai,E-Waste,618,85,21430,6,Incineration,1982,15,65486,2023,29.4633,80.8873,1815.1796892871828,4
Chennai,Construction,4852,69,21430,5,Recycling,4411,8,65486,2023,29.4633,80.8873,1815.1796892871828,4
Chennai,Hazardous,3096,45,21430,8,Composting,896,19,65486,2023,29.4633,80.8873,1815.1796892871828,4
Kolkata,Plastic,7992,32,17335,9,Composting,2038,20,80985,2019,16.068,72.6096,1803.2815293914036,0
Kolkata,Organic,8041,71,17335,6,Composting,4200,6,80985,2019,16.068,72.6096,1803.2815293914036,0
Kolkata,E-Waste,812,50,17335,10,Recycling,3118,16,80985,2019,16.068,72.6096,1803.2815293914036,0
Kolkata,Construction,4954,63,17335,10,Incineration,1135,14,80985,2019,16.068,72.6096,1803.2815293914036,0
Kolkata,Hazardous,626,53,17335,5,Recycling,4504,6,80985,2019,16.068,72.6096,1803.2815293914036,0
Kolkata,Plastic,1569,52,17335,10,Composting,2719,4,80985,2020,16.068,72.6096,1803.2815293914036,1
Kolkata,Organic,6472,74,17335,5,Landfill,3328,14,80985,2020,16.068,72.6096,1803.2815293914036,1
Kolkata,E-Waste,6409,50,17335,9,Composting,1796,11,80985,2020,16.068,72.6096,1803.2815293914036,1
Kolkata,Construction,2509,60,17335,5,Composting,2411,20,80985,2020,16.068,72.6096,1803.2815293914036,1
Kolkata,Hazardous,5709,58,17335,10,Incineration,4414,3,80985,2020,16.068,72.6096,1803.2815293914036,1
Kolkata,Plastic,3627,67,17335,6,Incineration,4952,16,80985,2021,16.068,72.6096,1803.2815293914036,2
Kolkata,Organic,9186,35,17335,6,Landfill,4649,9,80985,2021,16.068,72.6096,1803.2815293914036,2
Kolkata,E-Waste,2735,54,17335,8,Composting,2923,1,80985,2021,16.068,72.6096,1803.2815293914036,2
Kolkata,Construction,1989,45,17335,7,Recycling,2795,8,80985,2021,16.068,72.6096,1803.2815293914036,2
Kolkata,Hazardous,2740,34,17335,8,Recycling,1795,7,80985,2021,16.068,72.6096,1803.2815293914036,2
Kolkata,Plastic,1267,51,17335,7,Incineration,4565,9,80985,2022,16.068,72.6096,1803.2815293914036,3
Kolkata,Organic,545,61,17335,5,Landfill,4082,13,80985,2022,16.068,72.6096,1803.2815293914036,3
Kolkata,E-Waste,1714,81,17335,7,Composting,2394,11,80985,2022,16.068,72.6096,1803.2815293914036,3
Kolkata,Construction,7568,65,17335,5,Incineration,3770,0,80985,2022,16.068,72.6096,1803.2815293914036,3
Kolkata,Hazardous,8057,32,17335,5,Composting,2400,3,80985,2022,16.068,72.6096,1803.2815293914036,3
Kolkata,Plastic,6343,80,17335,7,Recycling,1064,17,80985,2023,16.068,72.6096,1803.2815293914036,4
